Date,Price,Open,High,Low,Chg%
"Oct 11, 2019",37845,38002,38350,37691,-0.82%
"Oct 14, 2019",38226,37894,38280,37771,1.01%
"Oct 15, 2019",38036,38235,38425,37972,-0.50%
"Oct 16, 2019",38219,38137,38240,37937,0.48%
"Oct 17, 2019",38196,38181,38233,37972,-0.06%
"Oct 18, 2019",38089,38142,38194,37965,-0.28%
"Oct 21, 2019",37890,38010,38090,37867,-0.52%
"Oct 22, 2019",37881,37883,37950,37822,-0.02%
"Oct 23, 2019",38003,37944,38099,37944,0.32%
"Oct 24, 2019",38352,38036,38372,37990,0.92%
"Oct 25, 2019",38269,38332,38618,38215,-0.22%
"Oct 27, 2019",38275,38319,38340,38260,0.02%
"Oct 28, 2019",37922,38283,38283,37895,-0.92%
"Oct 29, 2019",37916,37939,38045,37801,-0.02%
"Oct 30, 2019",38088,37920,38129,37894,0.45%
"Oct 31, 2019",38578,38105,38603,38037,1.29%
"Nov 01, 2019",38310,38500,38546,38265,-0.69%
"Nov 04, 2019",38472,38391,38510,38331,0.42%
"Nov 05, 2019",37881,38369,38396,37851,-1.54%
"Nov 06, 2019",38247,37906,38286,37906,0.97%
"Nov 07, 2019",37575,38245,38245,37520,-1.76%
"Nov 08, 2019",37687,37747,37869,37477,0.30%
"Nov 11, 2019",37680,37687,37848,37510,-0.02%
"Nov 12, 2019",37720,37680,37793,37522,0.11%
"Nov 13, 2019",38097,37787,38148,37781,1.00%
"Nov 14, 2019",38266,38060,38318,38059,0.44%
"Nov 15, 2019",37994,38236,38236,37921,-0.71%
"Nov 18, 2019",38229,37918,38247,37791,0.62%
"Nov 19, 2019",38205,38230,38230,37920,-0.06%
"Nov 20, 2019",38155,38220,38330,38001,-0.13%
"Nov 21, 2019",37953,38155,38193,37920,-0.53%
"Nov 22, 2019",37895,37929,38135,37871,-0.15%
"Nov 25, 2019",37723,37935,37935,37705,-0.45%
"Nov 26, 2019",37718,37696,37777,37520,-0.01%
"Nov 27, 2019",37525,37690,37690,37482,-0.51%
"Nov 28, 2019",37723,37573,37748,37540,0.53%
"Nov 29, 2019",38031,37782,38114,37693,0.82%
"Dec 02, 2019",37952,37717,38028,37100,-0.21%
"Dec 03, 2019",38250,37930,38768,37880,0.79%
"Dec 04, 2019",38176,38331,38450,38140,-0.19%
"Dec 05, 2019",38237,38850,38850,38192,0.16%
"Dec 06, 2019",37699,38011,38119,37655,-1.41%
"Dec 09, 2019",37583,37679,37698,37563,-0.31%
"Dec 10, 2019",37571,37677,37700,37534,-0.03%
